status,severity,issue description,possible solution
,highest,subprocesses don't die when parent/gui dies,checking if window is visible if not terminating the subprocess
done,highest,subprocess output to a TextBox,main issues was the TextBox was buffering
,high,pressing download muptiple time launches subprocesses many times,have a running bool that won't let more instances run
,medium,reminder save download path with double slash
,medium,the UI performence is relly slow,posibly because I run process event twice a loop
done,medium,clicking links opened in label not external app,select a OpenExternalLink
done,medium,get over initial hurdles of QT designer, including resizing
done ,medium ,ffmpeg & ffprobe in dir gui
done,low,change colors of the ui
,low,Ctrl+D to quit
